,article_name,country,revision_id,article_quality_est.,population
163,Viktor Dyk,Czech Republic,800925236.0,C,
164,Alois Jirásek,Czech Republic,800925518.0,C,
165,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668.0,Start,
166,Adriana Krnáčová,Czech Republic,801972898.0,Start,
167,Ondřej Liška,Czech Republic,802013967.0,Stub,
168,Marcel Chládek,Czech Republic,802054500.0,Stub,
169,Miroslava Kopicová,Czech Republic,802055280.0,Stub,
170,Milan Chovanec,Czech Republic,802060218.0,Stub,
171,František Bublan,Czech Republic,802060471.0,Stub,
172,Jiří Dienstbier Jr.,Czech Republic,802069244.0,C,
173,Táňa Fischerová,Czech Republic,802360196.0,C,
174,Václav Jehlička,Czech Republic,802365998.0,Stub,
175,Viliam Široký,Czech Republic,802416926.0,Stub,
176,Miroslav Lidinský,Czech Republic,802531379.0,Start,
177,Petr Cibulka,Czech Republic,802834939.0,Start,
178,Anna Šabatová,Czech Republic,802875800.0,Stub,
179,Adolph Aloys von Braun,Czech Republic,803332354.0,C,
180,Dana Bérová,Czech Republic,803438779.0,Stub,
181,František Palacký,Czech Republic,803658529.0,C,
182,Miroslav Kostelka,Czech Republic,803709959.0,Stub,
183,Martin Barták,Czech Republic,803793256.0,Stub,
184,Karolína Peake,Czech Republic,803794383.0,Start,
185,Petr Ježek,Czech Republic,803983301.0,Start,
186,František Udržal,Czech Republic,804093764.0,Stub,
187,Václav Havel,Czech Republic,804569724.0,C,
188,Pavel Fischer,Czech Republic,804582256.0,Stub,
189,Eva Tylová,Czech Republic,804591494.0,Stub,
190,Dana Jurásková,Czech Republic,804715205.0,Stub,
191,Svatopluk Němeček,Czech Republic,804715467.0,Stub,
192,Richard Brabec,Czech Republic,804820949.0,Stub,
193,Jan Fischer (politician),Czech Republic,804868436.0,C,
194,Martin Pecina,Czech Republic,804869147.0,Stub,
195,Vlasta Parkanová,Czech Republic,804871394.0,Stub,
196,Martin Bursík,Czech Republic,804879673.0,Start,
197,Lubomír Zaorálek,Czech Republic,805037426.0,Start,
198,Radola Gajda,Czech Republic,805084705.0,C,
199,Karel Schwarzenberg,Czech Republic,805176779.0,C,
200,Vlasta Svobodová,Czech Republic,805179298.0,Stub,
201,Ondřej Přikryl,Czech Republic,805352758.0,Start,
