,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
120,Hanna Nasser,Palestinian Territory,714586856.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
121,Ghazi Hanania,Palestinian Territory,715125381.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
122,Amin Abd al-Hadi,Palestinian Territory,716425885.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
123,Samir Hulileh,Palestinian Territory,717174805.0,Start,PS,Country,2019.0,5.008,5008000.0,both
124,Hatem Qafisha,Palestinian Territory,717350346.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
125,Nayef Rajoub,Palestinian Territory,717907429.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
126,Ghassan Shakaa,Palestinian Territory,720225559.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
127,Salim Zanoun,Palestinian Territory,720541817.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
128,Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
129,Umm Nidal,Palestinian Territory,729635985.0,C,PS,Country,2019.0,5.008,5008000.0,both
130,Aref al-Dajani,Palestinian Territory,730565205.0,Start,PS,Country,2019.0,5.008,5008000.0,both
131,Faed Mustafa,Palestinian Territory,730612889.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
132,Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909.0,B,PS,Country,2019.0,5.008,5008000.0,both
133,Samiha Khalil,Palestinian Territory,737316891.0,Start,PS,Country,2019.0,5.008,5008000.0,both
134,Imil Jarjoui,Palestinian Territory,738485209.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
135,Abu Zakaria al-Jamal,Palestinian Territory,740251014.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
136,Mustafa al-Khalidi,Palestinian Territory,740562507.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
137,Samir Ghawshah,Palestinian Territory,741240899.0,Start,PS,Country,2019.0,5.008,5008000.0,both
138,Fuad Kokaly,Palestinian Territory,742810698.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
139,Janet Mikhail,Palestinian Territory,742930612.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
140,Hind Khoury,Palestinian Territory,744229617.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
141,Saloum Cohen,Palestinian Territory,744680083.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
142,Ahmed Majdalani,Palestinian Territory,745445418.0,Start,PS,Country,2019.0,5.008,5008000.0,both
143,Faidi al-Alami,Palestinian Territory,746561126.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
144,Arafat scarf,Palestinian Territory,752269980.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
145,Zuhir al-Qaisi,Palestinian Territory,754951299.0,C,PS,Country,2019.0,5.008,5008000.0,both
146,Mohammed Shabir,Palestinian Territory,754960024.0,Start,PS,Country,2019.0,5.008,5008000.0,both
147,Said Seyam,Palestinian Territory,755358806.0,C,PS,Country,2019.0,5.008,5008000.0,both
148,Atef Adwan,Palestinian Territory,756834998.0,Start,PS,Country,2019.0,5.008,5008000.0,both
149,Moussa Arafat,Palestinian Territory,756836183.0,Start,PS,Country,2019.0,5.008,5008000.0,both
150,Khouloud Daibes,Palestinian Territory,757565638.0,Start,PS,Country,2019.0,5.008,5008000.0,both
151,Nahid al-Rayyis,Palestinian Territory,759387598.0,Start,PS,Country,2019.0,5.008,5008000.0,both
152,Rawhi Fattouh,Palestinian Territory,760357919.0,Start,PS,Country,2019.0,5.008,5008000.0,both
153,Wasfi Kabha,Palestinian Territory,760375386.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
154,Omar Hammayil,Palestinian Territory,760380012.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
155,Mohammed Milhim,Palestinian Territory,760380700.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
156,Faisal Husseini,Palestinian Territory,765742925.0,Start,PS,Country,2019.0,5.008,5008000.0,both
157,Haidar Abdel-Shafi,Palestinian Territory,766784372.0,Start,PS,Country,2019.0,5.008,5008000.0,both
158,Nasser al-Shaer,Palestinian Territory,766840809.0,Start,PS,Country,2019.0,5.008,5008000.0,both
159,Omar Abd al-Razaq,Palestinian Territory,766847361.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
160,Adnan al-Husayni,Palestinian Territory,767482479.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
161,Ziad Abu Amr,Palestinian Territory,767881055.0,Start,PS,Country,2019.0,5.008,5008000.0,both
162,Ziad Abuzayyad,Palestinian Territory,768374386.0,Start,PS,Country,2019.0,5.008,5008000.0,both
163,Azzam al-Ahmad,Palestinian Territory,769135700.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
164,Leila Shahid,Palestinian Territory,769328020.0,Start,PS,Country,2019.0,5.008,5008000.0,both
165,Sharm El Sheikh Memorandum,Palestinian Territory,771217707.0,Start,PS,Country,2019.0,5.008,5008000.0,both
166,Hussein al-Husayni,Palestinian Territory,773002344.0,Start,PS,Country,2019.0,5.008,5008000.0,both
167,Riyad al-Maliki,Palestinian Territory,773227993.0,Start,PS,Country,2019.0,5.008,5008000.0,both
168,Yasser Abed Rabbo,Palestinian Territory,774821388.0,C,PS,Country,2019.0,5.008,5008000.0,both
169,Isra al-Modallal,Palestinian Territory,775535912.0,Start,PS,Country,2019.0,5.008,5008000.0,both
170,Jamal Abu Samhadana,Palestinian Territory,775898615.0,C,PS,Country,2019.0,5.008,5008000.0,both
171,Sufian Abu Zaida,Palestinian Territory,776289919.0,Start,PS,Country,2019.0,5.008,5008000.0,both
172,Taysir Khalid,Palestinian Territory,776386870.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
173,Ibrahim Nassar,Palestinian Territory,776831011.0,Start,PS,Country,2019.0,5.008,5008000.0,both
174,Anwar Khatib,Palestinian Territory,777026878.0,Start,PS,Country,2019.0,5.008,5008000.0,both
175,Jamil Majdalawi,Palestinian Territory,779034357.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
176,Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366.0,Start,PS,Country,2019.0,5.008,5008000.0,both
177,Rabiha Diab,Palestinian Territory,779367907.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
178,Ahmed Hilmi Pasha,Palestinian Territory,782105397.0,C,PS,Country,2019.0,5.008,5008000.0,both
179,Majida Al-Masri,Palestinian Territory,783041670.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
180,Emil Ghuri,Palestinian Territory,784373796.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
181,Ali Jarbawi,Palestinian Territory,784662302.0,Start,PS,Country,2019.0,5.008,5008000.0,both
182,Jamal al-Jamal,Palestinian Territory,784977752.0,Start,PS,Country,2019.0,5.008,5008000.0,both
183,Jamal al-Husayni,Palestinian Territory,785938135.0,B,PS,Country,2019.0,5.008,5008000.0,both
184,Musa al-Husayni,Palestinian Territory,785938199.0,B,PS,Country,2019.0,5.008,5008000.0,both
185,Salim al-Husayni,Palestinian Territory,785938222.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
186,Mustafa Barghouti,Palestinian Territory,787198183.0,C,PS,Country,2019.0,5.008,5008000.0,both
187,Abdel Hafiz Nofal,Palestinian Territory,787385830.0,Start,PS,Country,2019.0,5.008,5008000.0,both
188,Zaki al-Ghul,Palestinian Territory,787447130.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
189,Oslo I Accord,Palestinian Territory,787453135.0,C,PS,Country,2019.0,5.008,5008000.0,both
190,Adly Yaish,Palestinian Territory,787691185.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
191,Intissar al-Wazir,Palestinian Territory,788004334.0,Start,PS,Country,2019.0,5.008,5008000.0,both
192,Muhammad Abu Tir,Palestinian Territory,788019130.0,C,PS,Country,2019.0,5.008,5008000.0,both
193,"Palestinian general election, 1996",Palestinian Territory,788023506.0,C,PS,Country,2019.0,5.008,5008000.0,both
194,Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998.0,C,PS,Country,2019.0,5.008,5008000.0,both
195,Yousef al-Khalidi,Palestinian Territory,788159128.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
196,List of mayors of Nablus,Palestinian Territory,788189214.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
197,Khalil al-Hayya,Palestinian Territory,788437086.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
198,President of the Palestinian National Authority,Palestinian Territory,788509815.0,B,PS,Country,2019.0,5.008,5008000.0,both
199,Fathi Ahmad Hammad,Palestinian Territory,788591724.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
200,Abdullah Rimawi,Palestinian Territory,788953220.0,GA,PS,Country,2019.0,5.008,5008000.0,both
201,Yahya Hammuda,Palestinian Territory,788988278.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
202,Hani al-Hassan,Palestinian Territory,789228790.0,Start,PS,Country,2019.0,5.008,5008000.0,both
203,Bashir Barghouti,Palestinian Territory,790695172.0,Start,PS,Country,2019.0,5.008,5008000.0,both
204,Bassam as-Salhi,Palestinian Territory,790721748.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
205,Khalida Jarrar,Palestinian Territory,791881528.0,GA,PS,Country,2019.0,5.008,5008000.0,both
206,Kamel al-Budeiri,Palestinian Territory,792611747.0,Start,PS,Country,2019.0,5.008,5008000.0,both
207,Zuheir Mohsen,Palestinian Territory,792615206.0,C,PS,Country,2019.0,5.008,5008000.0,both
208,Abdel-Razak al-Yehiyeh,Palestinian Territory,793718428.0,Start,PS,Country,2019.0,5.008,5008000.0,both
209,Abu Ali Mustafa,Palestinian Territory,794170874.0,Start,PS,Country,2019.0,5.008,5008000.0,both
210,Salah Khalaf,Palestinian Territory,794482018.0,C,PS,Country,2019.0,5.008,5008000.0,both
