,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
16375,Keith Hunter (police commissioner),United Kingdom,725012761.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16376,Jenny Lay,United Kingdom,725158083.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16377,Electoral history of Michael Portillo,United Kingdom,725249067.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16378,Louise Blenman,United Kingdom,726067133.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16379,Peter Allen (Alderney politician),United Kingdom,726693158.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16380,"Cromwell, Our Chief of Men",United Kingdom,727804773.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16381,Johann Philipp von Hattorf,United Kingdom,728042865.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16382,Ernst von Steinberg,United Kingdom,728043482.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16383,Bridget Elizabeth Talbot,United Kingdom,728356424.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16384,Thomas Trood,United Kingdom,728989190.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16385,John Bellasis (East India Company officer),United Kingdom,730000385.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16386,Lawrence Nilson,United Kingdom,730085336.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16387,Robert Nicholson (Indian Army officer),United Kingdom,730260705.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16388,Thomas Hodges (Governor of Bombay),United Kingdom,731193594.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16389,Paul Dalrymple Butler,United Kingdom,731454773.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16390,Oliver Nicolls,United Kingdom,731535796.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16391,"Francis Norris, 1st Earl of Berkshire",United Kingdom,732108083.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16392,Alfred Walton,United Kingdom,733672702.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16393,Frances Henrietta Stewart,United Kingdom,735889570.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16394,Boris: The Rise of Boris Johnson,United Kingdom,737063239.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16395,Margaret Wingfield,United Kingdom,737981471.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16396,George Dick (Governor of Bombay),United Kingdom,738973611.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16397,Sam Mézec,United Kingdom,739831433.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16398,"Liz Redfern, Baroness Redfern",United Kingdom,740311857.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16399,Jim Higgins (British politician),United Kingdom,740438022.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16400,My Life (Oswald Mosley autobiography),United Kingdom,741026702.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16401,Ernest Woodhead,United Kingdom,741853177.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16402,John Gutch (governor),United Kingdom,744080830.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16403,R. Jones,United Kingdom,744108246.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16404,S. Wilson,United Kingdom,744115990.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16405,Bartholomew Beale,United Kingdom,744272424.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16406,William Watts (governor),United Kingdom,745295018.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16407,Alan Hancock,United Kingdom,745519391.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16408,Edward Smith (governor),United Kingdom,745595137.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16409,Geraldine Mitton,United Kingdom,745608876.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16410,George Weldon (Deputy Governor of Bombay),United Kingdom,748291276.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16411,George Albert Watts,United Kingdom,749341100.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16412,John Stuart Penton Lumley,United Kingdom,749588884.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16413,Anthony Eskenzi,United Kingdom,749917242.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16414,Peter Estlin,United Kingdom,749917398.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16415,Philip Glanville,United Kingdom,750217119.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16416,Don Rossiter,United Kingdom,750377520.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16417,F. W. S. Craig,United Kingdom,750392824.0,C,GB,Country,2019.0,67.16,67160000.0,both
16418,John Dwyer (police officer),United Kingdom,751022884.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16419,Electoral history of Gordon Brown,United Kingdom,751195013.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16420,James Farish,United Kingdom,751700133.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16421,Robert Christopher Stafford Stanley,United Kingdom,753325059.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16422,George Thornhill (MP),United Kingdom,753543311.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16423,Mark Henig,United Kingdom,753754724.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16424,"Sir Godfrey Webster, 4th Baronet",United Kingdom,754525075.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16425,Jimmy Elsby,United Kingdom,754855304.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16426,Joe Irvin,United Kingdom,755316870.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16427,Women's Parliamentary Radio,United Kingdom,755473744.0,C,GB,Country,2019.0,67.16,67160000.0,both
16428,David Keane,United Kingdom,755847368.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16429,Simon Milton (politician),United Kingdom,755953035.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16430,Noreen Branson,United Kingdom,756195451.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16431,Arshad Ali (politician),United Kingdom,756887945.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16432,"Unendorsed Labour candidates, 1931",United Kingdom,757170847.0,B,GB,Country,2019.0,67.16,67160000.0,both
16433,Fanny Jean Turing,United Kingdom,757371151.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16434,Algernon Turnor,United Kingdom,758997615.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16435,Neale Porter,United Kingdom,759015727.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16436,"Charles Powlett, 5th Duke of Bolton",United Kingdom,759044784.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16437,George Alexander (actor),United Kingdom,759412968.0,C,GB,Country,2019.0,67.16,67160000.0,both
16438,Frederic Metcalfe,United Kingdom,759909062.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16439,Geoffrey Owen Whittaker,United Kingdom,760747947.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16440,Trench Chiswell,United Kingdom,761354074.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16441,Kathryn Holloway (police commissioner),United Kingdom,761685369.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16442,Stephen Mold,United Kingdom,763581762.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16443,Stanley John Odell,United Kingdom,763643435.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16444,Leonard Williams (politician),United Kingdom,764671673.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16445,Robert Abercromby of Airthrey,United Kingdom,765125562.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16446,"Harriet Windsor-Clive, 13th Baroness Windsor",United Kingdom,765262268.0,GA,GB,Country,2019.0,67.16,67160000.0,both
16447,Robin Matthews (politician),United Kingdom,765479349.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16448,Andrew Kerr (civil servant),United Kingdom,766315906.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16449,Henry Elsynge,United Kingdom,767516590.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16450,"Jane Campbell, Baroness Campbell of Surbiton",United Kingdom,767873136.0,C,GB,Country,2019.0,67.16,67160000.0,both
16451,Edward Cohen,United Kingdom,769063314.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16452,Frances Osborne,United Kingdom,769385908.0,GA,GB,Country,2019.0,67.16,67160000.0,both
16453,Catherine Williamson,United Kingdom,769415947.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16454,George Spence (MP),United Kingdom,769515550.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16455,Stephen Law (Governor of Bombay),United Kingdom,769597703.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16456,Mrs Henry de la Pasture,United Kingdom,770081029.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16457,Samuel Gluckstein,United Kingdom,770368658.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16458,Robert Delaval,United Kingdom,770690975.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16459,Peter Delmé (MP for Ludgershall and Southampton),United Kingdom,770693745.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16460,William Nicol (Transvaal),United Kingdom,770926502.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16461,Charles Lennox Wyke,United Kingdom,771028541.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16462,Frederick William Johnston,United Kingdom,771632809.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16463,John Richardson (governor),United Kingdom,771661186.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16464,Leader of the Liberal Democrats in the House of Lords,United Kingdom,773039000.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16465,Henry Turner Irving,United Kingdom,773238627.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16466,Robert George Gammage,United Kingdom,773514721.0,C,GB,Country,2019.0,67.16,67160000.0,both
16467,Charles Archer,United Kingdom,773943918.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16468,Sarah Carr (politician),United Kingdom,774292173.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16469,Phil Hobson,United Kingdom,774293013.0,no_pred,GB,Country,2019.0,67.16,67160000.0,both
16470,Brian Millard,United Kingdom,774293048.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16471,William Fuller-Maitland,United Kingdom,774311889.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16472,Benjamin Roberts (governor),United Kingdom,774383097.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16473,John Smith (Deputy Governor of Anguilla),United Kingdom,774383109.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16474,Abraham Pinter,United Kingdom,774440255.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16475,Samuel Whitbread (1764–1815),United Kingdom,774514200.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16476,Mike Kinsey,United Kingdom,774915631.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16477,Florence Eshalomi,United Kingdom,775079274.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16478,Walter Coutts,United Kingdom,775622157.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16479,Sophie Linden,United Kingdom,775665955.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16480,George Foxcroft,United Kingdom,775697157.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16481,Valerie Wise,United Kingdom,776043514.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16482,Albert Ehrhardt,United Kingdom,776286813.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16483,Joe Lobenstein,United Kingdom,776815379.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16484,Leslie Probyn,United Kingdom,776959995.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16485,John Griffith (Governor of Bombay),United Kingdom,777040646.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16486,John Horne (Governor of Bombay),United Kingdom,777068266.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16487,Marion Stein,United Kingdom,777507244.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16488,Hardyal Dhindsa,United Kingdom,777725551.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16489,Thorley Smith,United Kingdom,778026038.0,C,GB,Country,2019.0,67.16,67160000.0,both
16490,John Humphries (author),United Kingdom,778715622.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16491,Val Shawcross,United Kingdom,779521874.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16492,Alex Bain-Stewart,United Kingdom,779938489.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16493,Dominic Christian,United Kingdom,779940059.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16494,Emma Edhem,United Kingdom,779940187.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16495,Henry Somerset (British Army officer),United Kingdom,780298993.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16496,Frederick Burrows,United Kingdom,780743874.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16497,Basil Goldstone,United Kingdom,781072534.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16498,"Richard Lumley, 2nd Earl of Scarbrough",United Kingdom,781378074.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16499,Bryan Cartledge,United Kingdom,781426476.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16500,Electoral history of William Hague,United Kingdom,782325305.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16501,Electoral history of Iain Duncan Smith,United Kingdom,782325324.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16502,Freddie Emery-Wallis,United Kingdom,782537417.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16503,Mike Warren (mayor),United Kingdom,782597607.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16504,Cecil Hamilton Armitage,United Kingdom,782852972.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16505,Clive Whitmore,United Kingdom,782864194.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16506,Churchill: The End of Glory,United Kingdom,783330634.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16507,Cyril Carr,United Kingdom,783354060.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16508,Marina Baker,United Kingdom,783510155.0,C,GB,Country,2019.0,67.16,67160000.0,both
16509,Rene Claudel Mugenzi,United Kingdom,783541500.0,C,GB,Country,2019.0,67.16,67160000.0,both
16510,"Jane Birdwood, Baroness Birdwood",United Kingdom,783639241.0,C,GB,Country,2019.0,67.16,67160000.0,both
16511,Anthony Reed Herbert,United Kingdom,783758842.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16512,Jay Lee,United Kingdom,783760576.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16513,Neil Francis Hawkins,United Kingdom,783779054.0,C,GB,Country,2019.0,67.16,67160000.0,both
16514,Mike Smithson (politics),United Kingdom,783945730.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16515,Matt Baker (footballer),United Kingdom,783965605.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16516,John Kotz (politician),United Kingdom,784087879.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16517,Jennie Elias,United Kingdom,784353659.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16518,"Sir William Erskine, 2nd Baronet",United Kingdom,784444507.0,C,GB,Country,2019.0,67.16,67160000.0,both
16519,"Alexander Bernstein, Baron Bernstein of Craigweil",United Kingdom,784462001.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16520,Alexander Tucker (commissioner),United Kingdom,784472086.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16521,Andy Brooks,United Kingdom,784473817.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16522,Allan Powell,United Kingdom,784562540.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16523,"Amir Bhatia, Baron Bhatia",United Kingdom,784563047.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16524,"Anthony Clarke, Baron Clarke of Hampstead",United Kingdom,784565320.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16525,"Anthony Grabiner, Baron Grabiner",United Kingdom,784565467.0,C,GB,Country,2019.0,67.16,67160000.0,both
16526,"Arthur Hazlerigg, 1st Baron Hazlerigg",United Kingdom,784569037.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16527,"Beatrice Plummer, Baroness Plummer",United Kingdom,784640096.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16528,Philip Sandys Melvill,United Kingdom,784655164.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16529,"David Gold, Baron Gold",United Kingdom,784659646.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16530,"Dora Gaitskell, Baroness Gaitskell",United Kingdom,784665644.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16531,Edward Arthur Carr,United Kingdom,784669757.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16532,"Edward Levy-Lawson, 1st Baron Burnham",United Kingdom,784671754.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16533,Frederic Festus Kelly,United Kingdom,784684977.0,GA,GB,Country,2019.0,67.16,67160000.0,both
16534,"Gary Porter, Baron Porter of Spalding",United Kingdom,784690504.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16535,"George FitzClarence, 1st Earl of Munster",United Kingdom,784694319.0,C,GB,Country,2019.0,67.16,67160000.0,both
16536,George Gillon,United Kingdom,784694624.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16537,"Henry Cohen, 1st Baron Cohen of Birkenhead",United Kingdom,784723268.0,C,GB,Country,2019.0,67.16,67160000.0,both
16538,James Bellett Richey,United Kingdom,784739583.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16539,"John Keane, 1st Baron Keane",United Kingdom,784756265.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16540,"Philip Smith, Baron Smith of Hindhead",United Kingdom,784794669.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16541,Ronald Gilbey,United Kingdom,784834317.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16542,Ros Jones,United Kingdom,784834709.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16543,Sally Powell,United Kingdom,784836681.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16544,"Samuel Fisher, Baron Fisher of Camden",United Kingdom,784836859.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16545,"Shas Sheehan, Baroness Sheehan",United Kingdom,784838160.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16546,"Stuart Polak, Baron Polak",United Kingdom,784846686.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16547,"Sydney Jacobson, Baron Jacobson",United Kingdom,784847883.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16548,"Irwin Bellow, Baron Bellwin",United Kingdom,785008140.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16549,A. F. X. Baron,United Kingdom,785164546.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16550,"Thomas Graves, 2nd Baron Graves",United Kingdom,785249293.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16551,Domini Crosfield,United Kingdom,785303390.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16552,Alison Hernandez,United Kingdom,785361329.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16553,John Gollan,United Kingdom,785451806.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16554,"Henry Bromley, 1st Baron Montfort",United Kingdom,785562152.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16555,George Pole,United Kingdom,785629849.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16556,"Joseph Duveen, 1st Baron Duveen",United Kingdom,785850566.0,C,GB,Country,2019.0,67.16,67160000.0,both
16557,"Peter Levene, Baron Levene of Portsoken",United Kingdom,786182731.0,C,GB,Country,2019.0,67.16,67160000.0,both
16558,Mayer Amschel de Rothschild,United Kingdom,786291223.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16559,"Sydney Stern, 1st Baron Wandsworth",United Kingdom,786292387.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16560,"John Wodehouse, 3rd Earl of Kimberley",United Kingdom,786299648.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16561,John Simon Harcourt,United Kingdom,786299896.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16562,John Kynaston Cross,United Kingdom,786313222.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16563,Horatio Myer,United Kingdom,786313312.0,C,GB,Country,2019.0,67.16,67160000.0,both
16564,John Lewis Ricardo,United Kingdom,786313332.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16565,Hampden Whalley,United Kingdom,786313604.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16566,"Sir Edmund Verney, 3rd Baronet",United Kingdom,786314180.0,C,GB,Country,2019.0,67.16,67160000.0,both
16567,"John Simon (MP, born 1818)",United Kingdom,786314267.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16568,David Ricardo (the younger),United Kingdom,786343359.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16569,"Sir Maurice Levy, 1st Baronet",United Kingdom,786343494.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16570,Frederick Goldsmid,United Kingdom,786343630.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16571,Joseph d'Aguilar Samuda,United Kingdom,786400491.0,C,GB,Country,2019.0,67.16,67160000.0,both
16572,Katherine Swynford: The Story of John of Gaunt and his Scandalous Duchess,United Kingdom,786457694.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16573,Harry Marks,United Kingdom,786535131.0,C,GB,Country,2019.0,67.16,67160000.0,both
16574,"Henry Lopes, 1st Baron Roborough",United Kingdom,786537659.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16575,Reginald Jaffray Lucas,United Kingdom,786538013.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16576,Coningsby Disraeli,United Kingdom,786539249.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16577,"Herbert Jessel, 1st Baron Jessel",United Kingdom,786607280.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16578,Navin Shah,United Kingdom,786643018.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16579,John O'Brien (British politician),United Kingdom,786651678.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16580,John Morse (British politician),United Kingdom,786654539.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16581,Henry Duffield Craik,United Kingdom,786717329.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16582,"Owen Philipps, 1st Baron Kylsant",United Kingdom,786746737.0,GA,GB,Country,2019.0,67.16,67160000.0,both
16583,Liam Maxwell,United Kingdom,786824413.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16584,Henry Drummond Wolff,United Kingdom,786908049.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16585,"Henry de Worms, 1st Baron Pirbright",United Kingdom,786908296.0,C,GB,Country,2019.0,67.16,67160000.0,both
16586,Massey Lopes,United Kingdom,786911856.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16587,Lionel Louis Cohen,United Kingdom,786912185.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16588,"Henry Lopes, 1st Baron Ludlow",United Kingdom,786916235.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16589,William Tindal Robertson,United Kingdom,786917700.0,B,GB,Country,2019.0,67.16,67160000.0,both
16590,Saul Isaac,United Kingdom,786918132.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16591,James Lloyd Ashbury,United Kingdom,786918346.0,C,GB,Country,2019.0,67.16,67160000.0,both
16592,"Thomas Ponsonby, 3rd Baron Ponsonby of Shulbrede",United Kingdom,787025230.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16593,Henry Lascelles (1690–1753),United Kingdom,787055298.0,C,GB,Country,2019.0,67.16,67160000.0,both
16594,Charles Edward Bruce,United Kingdom,787073835.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16595,Lucy Masterman,United Kingdom,787172281.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16596,"Martha Bruce, Countess of Elgin and Kincardine",United Kingdom,787236627.0,B,GB,Country,2019.0,67.16,67160000.0,both
16597,Alfred Sherman,United Kingdom,787306791.0,C,GB,Country,2019.0,67.16,67160000.0,both
16598,Willoughby Cotton,United Kingdom,787316643.0,B,GB,Country,2019.0,67.16,67160000.0,both
16599,Electoral history of Margaret Thatcher,United Kingdom,787317806.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16600,Electoral history of Tony Blair,United Kingdom,787320319.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16601,David Salomons,United Kingdom,787426993.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16602,"Julian Mond, 3rd Baron Melchett",United Kingdom,787432226.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16603,Jack Gaster,United Kingdom,787712877.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16604,Lewis Cohen (mayor),United Kingdom,787725856.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16605,"Alma Birk, Baroness Birk",United Kingdom,787739371.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16606,Mary Richardson,United Kingdom,787769187.0,C,GB,Country,2019.0,67.16,67160000.0,both
16607,Eustace Budgell,United Kingdom,787792409.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16608,John Fenton-Cawthorne,United Kingdom,787841483.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16609,"Richard Bourke, 6th Earl of Mayo",United Kingdom,787857338.0,C,GB,Country,2019.0,67.16,67160000.0,both
16610,Ferdinand de Rothschild,United Kingdom,787867153.0,C,GB,Country,2019.0,67.16,67160000.0,both
16611,Marlene Hassan Nahon,United Kingdom,787955183.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16612,Benn family,United Kingdom,787990043.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16613,Phillip Oppenheim,United Kingdom,788152645.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16614,Myer Galpern,United Kingdom,788152764.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16615,Cecil Manning,United Kingdom,788152897.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16616,Hubert Ashton,United Kingdom,788153041.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16617,Thomas Stamford,United Kingdom,788153155.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16618,Edward Marjoribanks (Conservative politician),United Kingdom,788153231.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16619,Stanley Jackson,United Kingdom,788153511.0,GA,GB,Country,2019.0,67.16,67160000.0,both
16620,Dudley Joel,United Kingdom,788154006.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
16621,Margo MacDonald,United Kingdom,788154478.0,C,GB,Country,2019.0,67.16,67160000.0,both
16622,Anthony Muirhead,United Kingdom,788154493.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16623,Garry Allighan,United Kingdom,788154643.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16624,Reginald Bennett,United Kingdom,788154711.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16625,"Sir Frank Meyer, 2nd Baronet",United Kingdom,788154832.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16626,Albert Braithwaite,United Kingdom,788154890.0,Start,GB,Country,2019.0,67.16,67160000.0,both
16627,Hugh Ferguson,United Kingdom,788154930.0,Stub,GB,Country,2019.0,67.16,67160000.0,both
